Price,Open,High,Low,Close,Volume,Change (%)
Ticker,3008.TW,3008.TW,3008.TW,3008.TW,3008.TW,
Date,,,,,,
2023-04-10,1988.6433065632284,2002.5175621904139,1979.3938028117716,1984.0185546875,264070,0.46837826983461284
2023-04-11,2002.5176965219002,2021.0167052657516,1993.2681921499748,1997.8929443359375,403972,0.6993074543409694
2023-04-12,2011.767330609159,2011.767330609159,1984.018815704205,2007.142578125,303674,0.4629694406442342
2023-04-13,1997.8929406540024,2025.6414537186413,1988.6434362991229,1993.2681884765625,558395,-0.6912508259078631
2023-04-14,1960.8948512401396,1970.1443552554233,1891.523571125512,1905.3978271484375,1652857,-4.408356177865036
2023-04-17,1900.7731235638787,1988.6434139476103,1896.148371438419,1965.5196533203125,998385,3.15534243375577
2023-04-18,1965.519622875918,1988.6433831450463,1923.8968543914866,1928.5216064453125,826142,-1.8823544609437026
2023-04-19,1937.771193330511,1937.771193330511,1877.6494140625,1877.6494140625,821508,-2.6378855291427694
2023-04-20,1886.89890760701,1896.148412056064,1859.150394259848,1863.775146484375,837088,-0.7389168326214057
2023-04-21,1882.2741735121783,1914.6474393956803,1882.2741735121783,1886.89892578125,561334,1.2406957642123961
2023-04-24,1873.0245516527543,1896.148311549702,1854.5255437351964,1891.5235595703125,410307,0.24509176012952327
2023-04-25,1896.1485328484532,1914.6475429250233,1859.1505126953125,1859.1505126953125,682222,-1.7114799713281892
2023-04-26,1863.7750553029007,1910.022575285603,1863.7750553029007,1900.7730712890625,742130,2.238794455291715
2023-04-27,1896.1482958381557,1896.1482958381557,1863.7750322506752,1873.0245361328125,502983,-1.4598552333988768
2023-04-28,1886.899027810168,1886.899027810168,1859.1505126953125,1859.1505126953125,335553,-0.7407283337646731
2023-05-02,1863.7750044779561,1873.0245082222636,1840.6512451171875,1840.6512451171875,528088,-0.9950387261172144
2023-05-03,1836.0266223144533,1849.90087890625,1817.5276135253907,1849.90087890625,667109,0.5025196279631716
2023-05-04,1849.900748861495,1849.900748861495,1831.40174137288,1840.6512451171875,318275,-0.5000069946737518
2023-05-05,1859.1503646657436,1859.1503646657436,1826.777099609375,1826.777099609375,469559,-0.7537628621726911
2023-05-08,1854.5256311035157,1891.5236486816407,1836.0266223144533,1849.90087890625,532423,1.2658237998395938
2023-05-09,1859.150394259848,1873.024650933429,1845.276137586267,1863.775146484375,399938,0.7500005938873899
